carat,color,clarity,depth,table,price
2.03,I,SI1,62.3,60,16392
0.9,D,SI1,64.5,61,3689
0.52,G,VVS2,61.4,55.3,1957
0.81,I,SI2,61.7,59,2386
0.71,F,SI2,62.1,54,2365
0.32,G,VVS1,61.8,56,786
1.04,E,VS1,63,55,7751
1.5,D,SI2,62.4,61,8517
0.3,G,VS2,60.8,61,675
0.41,D,SI1,62.2,57,1015
0.43,H,SI1,61.5,58,919
0.4,E,VVS1,60.8,57,1278
1.01,E,VS2,65.4,56,6004
0.52,H,SI1,63.6,62,1073
0.73,G,VS2,61.8,54,2839
0.66,G,VS2,58.1,59.9,2101
0.33,H,SI1,63,56,594
1.33,H,VS2,62.6,57,7850
1.02,D,VS2,59.8,61,6909
0.7,H,VS2,57,58,1981
0.73,J,VS2,62.8,55,2054
1.02,D,IF,62.7,57,15306
0.7,E,SI1,59.1,62,2592
0.7,E,SI1,60.5,58,2777
1.01,J,SI1,62.8,57,3998
1.51,I,VS1,63.1,53,9513
0.98,G,SI2,62.2,57,4542
0.26,E,VVS2,61.7,61,564
1.12,I,SI1,60.3,57,6143
1.29,F,SI2,63.4,57,4977
1.01,G,SI2,61.5,58,3461
1.21,F,VS2,61.3,56,9397
0.7,G,VS1,65.2,57,2290
1.08,H,SI2,60.4,57,4536
1.26,D,SI2,61.6,56,5412
1.5,G,SI2,62,57,8736
1.01,H,VS1,61.1,58,5416
0.58,E,SI1,61.5,58,1424
0.72,J,VS2,63.2,60,1814
0.77,D,VS2,63.1,57,3489
0.3,D,VS1,62,55,863
1,J,SI1,58.7,58,3920
1.21,H,SI2,62.1,55,5692
0.75,G,SI1,60.9,58,2631
0.33,E,VVS1,62.6,58,852
0.5,F,SI1,59.6,61,1125
0.21,E,SI2,61.9,56,394
0.3,G,VVS2,63.5,56,878
0.71,G,VS2,64.5,57,2382
0.48,G,VS1,57.8,60.9,1262
1.02,H,SI2,63.1,59,4284
1.16,I,SI1,61.5,57,5002
0.66,G,VS1,59,62,2055
1.07,E,SI1,60.4,63,4314
1.76,I,SI2,61.2,55,9714
0.72,J,SI1,62.7,56,1666
0.7,I,VS1,62.1,57,2398
2.02,I,SI1,64.3,56,13286
0.41,F,VVS1,62.3,57,1356
0.58,D,SI2,65.1,58,1156
1.01,G,SI1,61.3,59,5006
0.26,F,VVS1,64,57,524
1.03,F,VS2,62.4,58,6307
0.42,G,VS1,60.6,58,921
0.59,H,SI2,61.9,55,1292
0.41,F,SI2,62.6,54,612
1.5,J,VS1,63.3,57,8736
1,E,SI1,60.5,59,5396
1,H,SI1,62.1,58,5247
0.31,F,VS2,62.3,55,802
1.01,G,SI2,62.9,57,3750
0.55,E,SI2,58.4,61,1134
0.79,I,SI1,63.3,57,2095
1.01,D,SI2,60.1,60,4690
0.73,F,SI1,61.7,58,2527
0.51,F,SI2,62.7,56,1100
1,H,SI1,62.1,56,4788
0.44,D,VS2,62.8,58,850
0.73,E,VS1,61.2,57,3620
1.12,E,I1,61,59,3942
1.04,F,VS1,61.4,57,7015
1.04,I,SI2,62,57,3774
1.02,E,VVS1,60.2,60,10641
1.01,H,SI1,62.8,58,3869
0.54,D,VS2,60.7,57,2113
1.55,I,VS2,61.8,55,11574
1,G,VS2,63.4,61,5600
1.58,G,SI2,60,53,9037
0.7,F,VVS2,61.2,56,4114
1.35,J,VS1,62.1,56,5759
0.71,D,VS2,61,56,3838
1.04,E,VVS2,61,57,9901
0.31,D,VS2,59.4,57,879
0.33,E,VS2,60.8,57,723
1.01,E,SI2,63.3,57,4270
1.14,F,VVS2,63.3,56,8912
0.55,E,VS2,61.5,56,1881
0.37,E,VS2,58.9,61,1041
0.6,D,SI1,62.8,61,2106
1.52,H,SI1,63.8,60,9898
0.31,D,VVS2,61.2,59,805
1.27,G,VVS2,61,58,10389
1.54,H,VS2,61,60,10977
1.52,H,VS2,61.8,54,11379
0.57,I,SI1,61.8,57,1173
0.33,E,VS2,62.1,56,928
0.77,G,VS1,62.2,56,3148
1.51,E,VS1,61.5,57,18729
1.06,I,SI2,62.7,58,4591
1.01,F,SI1,61,57,5174
0.3,E,VS2,60.7,63,612
2.03,H,I1,64.4,59,6002
0.85,G,VS1,57.7,67,2998
0.32,H,VS2,62.5,59,648
0.5,E,SI2,58,67,851
0.56,E,VS1,62.7,56,1608
0.8,F,SI1,60.1,60,3293
0.34,F,SI1,59.8,58,566
0.41,G,VS2,60.9,58,1061
0.52,F,VS2,61.2,56,1625
0.31,I,VS1,62.4,53,507
0.31,E,VVS2,61.9,54,767
1.07,E,VVS2,61.7,57,10288
1.01,G,SI1,61.5,56,4129
1.52,H,SI2,62,58,7764
0.32,D,SI2,63.4,56,477
0.9,H,VS2,60.4,59,4321
0.32,D,SI1,60.1,60,619
0.42,F,SI1,60.9,55,992
1.5,D,I1,64.7,62,5460
0.3,H,VS2,63,59,473
0.52,G,VVS2,61.7,56,2012
1.21,G,SI1,64.5,56,4637
0.32,G,VS1,62.1,56,828
0.34,E,VS1,61.6,55,790
0.57,G,VS2,62.6,55,1608
0.5,F,I1,69.8,55,584
0.35,I,SI1,61.3,54,606
0.9,G,SI1,62.9,58,3774
0.5,G,VVS2,63.8,56,1806
1.57,I,SI2,62.8,57,7385
0.35,E,VS2,61.9,61,919
0.71,F,SI1,61.1,62,2317
0.28,G,VS2,62,56,427
0.39,G,SI2,62.7,54,746
0.37,F,VVS1,59.2,57,1406
1.2,F,SI2,62.2,62,5247
0.74,E,SI2,61,57,2574
0.32,G,VS1,61.2,56,645
0.32,I,VS2,61.1,57,576
0.31,E,VVS1,60.5,57,942
1.27,J,SI2,66,59,4542
0.9,H,VS2,61.8,56,4082
0.39,G,VS1,60.3,59,790
1.24,E,SI2,60.5,62,4666
0.41,D,SI2,62.6,57,841
1.21,H,VS2,62.9,55,7426
0.31,E,SI2,60.9,60,435
0.32,I,VS1,62.1,57,605
0.7,E,SI2,62.1,56,2475
1.08,F,SI2,63.1,59,3590
1.01,H,VS2,63.1,62,4208
0.31,G,IF,62.6,53,891
1.06,G,SI2,61.9,60,4571
0.3,H,VS1,62.2,60,675
0.36,I,VS1,60.3,60,729
0.25,F,VS1,62.1,57,595
1,E,SI1,60.4,61,4916
2.01,J,VS2,60.4,59,13619
0.23,E,VVS2,61.3,57,505
1.53,J,VVS1,61.6,59,9555
0.75,E,SI2,59.7,62,2497
0.44,H,VS2,61.3,58,1040
0.33,I,IF,61.8,55,891
0.32,E,SI2,62.7,55,449
0.3,H,VS2,60.7,57,473
1,F,SI1,62.5,57,4504
0.41,G,SI1,62.6,54,923
0.3,H,SI1,61.6,62,421
1.05,F,VS2,62.8,57,6808
0.53,G,VS1,62.4,54,1659
0.4,E,SI1,62.2,56,694
0.7,H,SI1,63.7,59,2335
1.05,G,SI1,59.1,57,4429
0.74,J,VS2,60.6,62.6,1912
2.01,I,VS2,63.6,57,16003
0.76,G,VS1,61.6,56,3372
0.8,E,VS1,63.2,54,3831
0.33,F,VS2,61.2,58,666
0.76,G,SI1,61.2,57,3212
0.3,F,IF,62.1,55,886
0.32,H,VS2,61.7,56,534
1.5,I,I1,69.7,56,4704
1.7,G,VS2,59,58,15797
1.02,G,SI1,61,59,4718
0.39,G,VS1,62.6,58,855
0.3,G,VVS2,60.3,57,631
1.72,E,I1,62.2,55,7802
0.43,G,IF,61.9,53,1318
1.2,D,SI1,60.7,58,7191
0.58,H,SI1,62.5,58,1402
1.53,H,VVS2,60.4,60,12092
1.03,H,VS2,62.6,56,5364
0.38,G,SI1,62.4,57,666
1.4,F,VS2,66.5,56,8216
0.2,E,VS2,59.7,62,367
0.7,E,SI2,63.5,54,2310
2.01,H,SI2,63.4,60,11780
0.4,F,VVS2,62,56,1049
0.31,G,IF,61.3,57,891
1.5,F,VS2,62.4,57,13333
1.28,G,IF,60.8,57,11372
1.26,H,SI1,61,56,6715
0.54,E,VVS2,61,59,2313
0.27,E,VS2,63.1,57,470
1.03,I,SI2,65.2,56,3530
1.5,E,VS2,60.7,60,14386
0.91,E,SI2,60.3,59,3638
0.45,J,VVS1,61.9,56,978
0.74,D,VS2,59.8,58,3476
1.51,I,SI1,61.7,60,9344
0.81,H,SI1,61.4,56,3446
1,G,VS1,64.4,58,5906
0.27,F,VS2,63.3,58,470
0.59,G,VVS2,62.7,56,2125
0.33,G,IF,61.6,55,1052
1.2,G,SI2,58.9,60,5562
0.9,E,SI2,61.9,62,3422
0.71,H,SI1,65.1,56,2112
0.54,G,IF,62.5,58,2128
1.25,H,VS2,63.3,57,7525
1.24,G,VVS2,61.2,56,9788
0.32,I,SI1,60.7,57,432
0.7,H,VVS1,60.9,60,2406
1.03,H,SI1,61,55,4759
1,F,SI1,58.1,63,4586
1.16,D,VVS2,62,55,12989
0.51,F,VVS1,61.4,56,2726
0.71,F,VS1,62.6,55,2893
0.32,H,VS1,61,56,580
0.42,E,SI1,62.7,57,992
0.4,F,SI1,63.6,56,687
0.42,F,SI1,60.8,58,992
1.52,J,VS2,63.5,58,7370
1.09,F,SI2,63.2,58,4853
1.68,F,SI1,60.7,62,12681
0.34,F,SI2,60.1,56,574
